source,dest,time
33517,33529,20081206
36464,36237,20081207
36241,34109,20081030
33527,34448,20081120
33361,33363,20081212
35729,35723,20081111
33527,33513,20081028
34437,34111,20081118
33526,33514,20081118
4029,35725,20081119
34078,34111,20081211
34293,34111,20081215
36485,36413,20081203
33363,33527,20081117
34111,37767,20081028
27821,32049,20081122
28051,30411,20081026
28051,28640,20081108
28846,30320,20081119
28051,28640,20081206
30928,28627,20081024
28879,29892,20081022
31980,29892,20081023
28879,28627,20081121
27821,28641,20081210
28879,29892,20081021
29892,28051,20081117
29892,28627,20081024
32776,25321,20110312
32776,40802,20110319
33016,26056,20110512
29136,32433,20101207
25365,33154,20110419
54594,55716,20110620
33154,55811,20110408
32433,26489,20110412
26455,26007,20110422
33118,28588,20110305
48533,54476,20110320
33107,33154,20110116
25365,33154,20110427
40072,40636,20110319
33112,26489,20110504
33111,26489,20110426
28047,26489,20110420
28049,33154,20110409
32777,26490,20110505
32433,33154,20110427
56488,54624,20110618
29137,28865,20110419
29134,26490,20110512
29135,29135,20101208
32776,29135,20101128
32775,33111,20110625
33087,26490,20110419
59202,56668,20101219
32776,26489,20110429
33111,33154,20110506
32433,26489,20110412
33118,33111,20110429
32992,26490,20110427
29134,53252,20110128
33087,26490,20110504
45799,49488,20101211
32432,26489,20110509
56661,33111,20110617
32038,51418,20110320
29137,26489,20110505
33189,26490,20110506
29136,33214,20100915
26056,33154,20110416
25364,26489,20110503
26055,26490,20110601
32433,29134,20101231
26486,33154,20110418
26455,33111,20110408
29135,29135,20101206
32775,26490,20110428
29140,26489,20110506
28950,57549,20110414
33016,26489,20110408
29137,26489,20110425
29135,29135,20100812
58662,58542,20101224
28592,33154,20110305
29137,26490,20110422
33369,32433,20110109
32433,29135,20101214
33177,26489,20110512
32992,26489,20110501
29137,26489,20110428
32775,26056,20110510
25365,26489,20110729
25364,26490,20110803
29140,26490,20110731
26057,29137,20110802
28880,32886,20081027
32968,32952,20081117
28051,32968,20081117
32204,32185,20081106
33201,33200,20071007
32433,33201,20071002
33211,34207,20071006
29624,29544,20110927
26490,30554,20110929
26006,33525,20110810
26489,25366,20110907
29630,30554,20111006
26060,38306,20111023
28860,30554,20111010
28879,26485,20110803
29631,31667,20110918
29631,29631,20111016
26456,28870,20111022
28050,26489,20110808
29874,26489,20111013
30554,31712,20110921
33799,29135,20100507
27724,30554,20110918
32992,32777,20090926
33204,32736,20100505
28043,30554,20110923
29869,26490,20110926
32038,33154,20090804
32776,33111,20090805
26490,26487,20110908
26489,26308,20110805
29673,38306,20111003
26057,33154,20110905
29626,26056,20111027
29137,26490,20110916
32765,32765,20100315
33799,37029,20100506
30583,26057,20111008
28875,25998,20100424
33154,26057,20110825
32765,29135,20100506
30554,30088,20110908
29544,26490,20111011
29633,30554,20111015
32968,26489,20110831
28782,30554,20111012
29632,29631,20111022
29631,26490,20111014
32433,26488,20110902
29103,29103,20111027
32736,32736,20100508
29136,26056,20110913
33154,26489,20110819
25364,29534,20110922
28875,25998,20100424
29136,33154,20110820
26057,26056,20110809
26225,26224,20110910
26057,33154,20110901
29538,30554,20110927
30089,26055,20110928
32433,25532,20110901
29632,32204,20110918
30088,26056,20111019
30554,26489,20110923
32109,38306,20111016
26057,33154,20110825
25589,38306,20110910
38152,38315,20111001
25364,42194,20110817
26490,30554,20111014
26007,30554,20111025
36924,30554,20111001
26059,30554,20111018
29137,26489,20110817
25600,30554,20110908
29957,26489,20111018
30555,26489,20111024
26488,30554,20111009
28862,26489,20111009
29135,32765,20100515
32776,25837,20110813
29631,29631,20110921
29631,28047,20111004
28949,28778,20111023
29631,30744,20110925
30089,13005,20111005
27820,29535,20110921
32108,32108,20111016
32109,26489,20110929
25364,30554,20111024
30088,26488,20111025
29135,26487,20110906
28051,26490,20110804
29627,26490,20111010
29624,30554,20111008
30975,30994,20090411
32128,30648,20090419
29791,30106,20090609
30852,31856,20090509
31146,30647,20090701
30836,31628,20081114
30889,31307,20081202
30903,30903,20081118
32014,32004,20090504
28481,29399,20090502
30614,32004,20090624
31115,30835,20081113
30835,32004,20090520
28481,32004,20090406
29786,29791,20090405
29791,31860,20090503
30994,32014,20090412
30836,32004,20090511
30618,30618,20081121
31799,32114,20081110
30836,31860,20090526
32014,30836,20090531
31801,30903,20081103
30839,30836,20090506
30836,29399,20090608
27818,30890,20081023
28349,28515,20090702
30852,30836,20090401
29792,32004,20090510
31858,30648,20090505
31820,30836,20090517
31853,31668,20090704
31859,30836,20090512
29788,30836,20090530
31110,31750,20090525
31860,32004,20090423
31856,29791,20090509
32014,30994,20090409
29126,29399,20090403
31115,31631,20081119
30903,31590,20081123
31931,30971,20081027
32004,30838,20090615
31712,29791,20090507
31301,33151,20081118
30711,31667,20090531
31016,30994,20090410
32004,29791,20090426
30836,31668,20090623
30708,31279,20081214
32014,30710,20090424
30903,32004,20090705
30972,30970,20081121
29791,32014,20090420
32128,32004,20090524
31889,30836,20081112
30836,32004,20090417
31265,30836,20081202
30836,31668,20090630
29788,32004,20090508
32014,30698,20090524
31857,30648,20090510
31744,30836,20090624
29792,30890,20090512
30994,32014,20090413
32014,30615,20090623
32012,30836,20090602
31937,31801,20081103
30321,31631,20081210
30835,31110,20081115
29399,29791,20090430
29399,32004,20090514
32004,32004,20090619
32014,37114,20090610
31614,30647,20090606
32113,29791,20090423
31860,30615,20090416
32014,30836,20090520
32012,30616,20090629
32014,31666,20090621
52976,30691,20090528
31937,30836,20090607
28462,31653,20090703
31314,29399,20090513
30648,30645,20081024
31590,70576,20090521
32014,32004,20090519
31631,30835,20081117
32014,30836,20090427
30836,32004,20090505
30899,32004,20090427
32014,32004,20090517
32014,30838,20090422
30648,32014,20090615
31857,30836,20090526
32014,29791,20090511
29791,32004,20090424
30423,31631,20081211
31627,32004,20090622
30663,30918,20090521
32014,30994,20090413
30835,32004,20090518
30970,31072,20081118
30900,30617,20081120
28332,31860,20090401
31667,32014,20090515
40636,27063,20081026
31907,32014,20090618
30836,32004,20090507
37401,30615,20090611
31860,30835,20090701
31631,30971,20081203
31310,30971,20081212
7929,30836,20090614
30971,30971,20081211
30902,30835,20081203
30836,30836,20090520
30465,28629,20090331
30835,29399,20090420
31114,32014,20090610
30836,32004,20090607
30709,32004,20090612
30836,31859,20090428
30836,30836,20090603
30971,31631,20081203
30902,30902,20081116
31161,30645,20090601
29791,32004,20090419
32004,31668,20090402
31907,29791,20090330
31631,29399,20090418
32004,30836,20090504
30462,30835,20081114
30708,32004,20090616
30652,28779,20081122
29786,29791,20090429
28646,29531,20081029
30971,31301,20081112
31936,31860,20090701
32014,30994,20090412
29791,29791,20090501
32013,31860,20090602
32004,31669,20090508
30993,32004,20090422
31946,30877,20081029
31178,30462,20081117
31860,31854,20090620
30462,30708,20081201
32014,31937,20090516
30903,31301,20081212
31670,30836,20090519
30836,54492,20090527
29136,30710,20080720
29135,31647,20080324
30334,29135,20080312
33118,30918,20080526
29135,29135,20080825
30319,30994,20090124
29135,30918,20080630
31165,29135,20090113
29135,30711,20080503
32433,29135,20080915
32537,29135,20081101
29137,30373,20090207
29135,29135,20080818
31854,29135,20081021
29135,28878,20080520
31853,32433,20080415
32004,30918,20080402
30918,32433,20080515
32433,46258,20080301
32732,29135,20080831
32992,29135,20080913
31110,29135,20080820
29135,30994,20090216
31803,29135,20081212
30963,29135,20090117
29138,29135,20080723
31065,31061,20090215
29257,29135,20080404
31853,32433,20080322
29135,30918,20080717
28050,29135,20080820
31850,29135,20080618
31113,29135,20080818
30322,29135,20080506
28051,31113,20090112
29135,29135,20080512
31113,29135,20080902
30710,29135,20081118
30918,29135,20080530
28879,30918,20090116
30710,29135,20080430
29135,30994,20090202
32433,30994,20090203
30653,29135,20090213
29135,31113,20080813
31829,32433,20080619
29136,31143,20081122
32433,30710,20081201
31113,29135,20080609
32433,33016,20080815
52846,50240,20081001
29135,30918,20080427
32433,29135,20081002
28051,29140,20080713
32433,30918,20080519
31852,36017,20080323
31799,32433,20080401
32433,46504,20081105
30579,30708,20081018
31953,29135,20081128
28050,30918,20080528
30963,30710,20080504
36240,46262,20080405
30536,32433,20081128
30963,32433,20080511
29135,29135,20080806
32433,30918,20081008
31112,32433,20080408
31799,29135,20090112
32111,29135,20090217
30918,29135,20080306
30918,29135,20080519
31141,29135,20090206
29134,30918,20080310
33107,29134,20080921
53551,52846,20080929
29135,30918,20080322
32433,30918,20080507
29135,32433,20080530
30918,32433,20080606
31799,29135,20081229
30896,30918,20081022
31820,32038,20081226
29137,30918,20081203
28050,29135,20081031
29135,30918,20080530
52845,29135,20080910
30918,29135,20080602
31631,30918,20080602
27822,29135,20080816
31857,29135,20080718
29135,29135,20080919
28051,30918,20081127
30918,32433,20080512
28612,31113,20090111
31799,29135,20090121
31101,32433,20080329
31951,30918,20080412
31799,32433,20081120
30888,32721,20080521
32433,30918,20080407
31848,29135,20080717
28878,30993,20090210
29137,29137,20080520
30926,29135,20080307
31614,29135,20090203
30839,29135,20080728
30918,32433,20080529
30852,29135,20090216
30710,32433,20080513
31212,30918,20081015
29135,29135,20080913
29136,30918,20081229
31828,30994,20090214
31112,32433,20080523
29134,29135,20080807
29664,31101,20081221
31146,29135,20080509
31175,30918,20080601
29134,30704,20080915
28051,30852,20080417
31853,30918,20080418
29136,29135,20081102
32433,30918,20080521
30961,29134,20080428
31114,29135,20081125
30918,32433,20080407
31853,31113,20090120
32779,29135,20080815
29134,31113,20080811
30918,32433,20080508
31853,29135,20080703
30918,30918,20080516
32433,30918,20080402
29785,32433,20080331
30944,30918,20080416
30960,29135,20080622
32433,30704,20080727
30918,29135,20080603
30918,29135,20080916
31235,29135,20080918
29135,29135,20080827
32433,30710,20080429
29921,32433,20081015
31799,29135,20090119
28879,29135,20080917
31852,29135,20081223
30852,29135,20081211
29135,32433,20080805
29135,30918,20080817
31261,29134,20080919
29135,29137,20080520
31112,30917,20081230
30900,29135,20081119
31275,32433,20080719
30852,29135,20081024
29785,30579,20080328
30899,32433,20080514
49494,29134,20080629
32721,29135,20090101
53079,29135,20080317
29134,29135,20080729
33118,29135,20080826
28878,30918,20080619
28847,30918,20081014
32433,30710,20080916
31262,50961,20080615
30963,29135,20090128
31145,29135,20080821
32433,29135,20080912
32111,29135,20090215
25363,29135,20080709
29135,30704,20080314
32992,37782,20080823
30852,29135,20081124
31241,31631,20090116
30917,29135,20081023
32038,32038,20080512
29135,31113,20080819
53537,52843,20080923
32433,30704,20080403
28051,31112,20080627
28051,31113,20080415
52846,29135,20080406
32433,30710,20080603
31850,25367,20080412
31930,27187,20081221
31799,29135,20080702
26008,30324,20081019
30918,30918,20080522
28050,32433,20080611
29136,30918,20081023
32433,29135,20080731
29134,32721,20080829
32433,30704,20080514
29135,31113,20081118
32433,30918,20080408
32433,29135,20080828
28864,30710,20080605
30571,32433,20080316
30918,30918,20080531
30918,29135,20080912
29136,30465,20081020
29134,29135,20080725
29137,29137,20081122
31852,29135,20081225
29135,30852,20080802
30904,29135,20080721
31804,30465,20081017
29136,30918,20080320
30465,30918,20081016
30900,29135,20080812
31235,30994,20090125
29134,29135,20080909
28880,29135,20080625
36887,29135,20081120
31105,29135,20081209
30918,29135,20081020
46262,31113,20080518
31161,29135,20080311
33022,48969,20081213
28742,30710,20081104
31801,29135,20081204
31854,30918,20081208
30852,29135,20081222
50236,29135,20080907
29136,30918,20080313
29135,31113,20080820
28051,30918,20080416
29135,30918,20081224
32433,30918,20081103
30710,29135,20081127
32433,29135,20080617
30643,29135,20080811
31850,29135,20081107
31615,30994,20090211
29937,29134,20081014
31101,29135,20081203
32433,30918,20080919
30710,30710,20081126
30962,29135,20080627
31105,29135,20081210
28050,29135,20080907
31114,30704,20081018
30710,29135,20080917
32433,29135,20080819
29135,30710,20080511
30963,31113,20080315
30710,53551,20081228
29135,32673,20080322
29137,29134,20090106
29135,29135,20080715
29135,30662,20080513
31667,32433,20081117
31113,29135,20081009
29135,30710,20081125
32433,30918,20080328
48969,29134,20080427
32433,30918,20080718
31276,32433,20080422
32433,30704,20080512
29135,30918,20080917
31919,30918,20080621
30704,32776,20080510
29137,30918,20080311
31624,29137,20080321
31262,29135,20080507
30603,30918,20081013
30710,29135,20080604
32433,30710,20081202
31930,30710,20080414
32433,32433,20080419
28879,30710,20080625
30852,29135,20081008
36281,29135,20080706
31801,30918,20080418
31851,31113,20090114
30888,32433,20080320
32433,30918,20080510
29136,30137,20080626
32433,30933,20080617
31848,31113,20090118
30711,32433,20081201
31851,32050,20080619
32433,30918,20080506
31103,29135,20080505
29136,30704,20080320
48262,29135,20080302
29135,31113,20080901
31113,29135,20080803
31666,29135,20081129
31113,29135,20090115
31235,29135,20080324
29135,30918,20081012
30963,29135,20080413
30918,32776,20080528
29135,29135,20080914
28650,30918,20080614
29135,30918,20080810
31950,31751,20080920
29137,30918,20081124
29136,32717,20081231
29135,30918,20080331
32433,31113,20081222
31614,29135,20090207
31853,32433,20080701
30918,29135,20080520
31193,31627,20080614
29135,29135,20080904
29137,28076,20080430
29136,30710,20080422
52449,30918,20080323
32433,30918,20081006
30847,29135,20080626
47408,29135,20081214
51926,32433,20101210
36429,36274,20101206
36970,37341,20071203
64967,41945,20071202
36487,36216,20071203
58527,35675,20090508
18632,18650,20090821
56791,56418,20090818
32433,33087,20090918
57146,58358,20090515
24604,18650,20090820
18529,14027,20090823
32433,30836,20080919
29135,32433,20080903
32721,30918,20080827
31143,29135,20080812
31851,32433,20080723
30836,30836,20081016
29135,30836,20080825
30462,30836,20081115
31278,29135,20080806
30709,30613,20080827
29137,28614,20080821
31853,32433,20080716
29135,30615,20080722
29134,29135,20080719
31081,30615,20081027
30900,32433,20080717
31546,30836,20080805
32433,31858,20080812
32433,30615,20081128
32433,30836,20080728
32433,30836,20080725
31109,29135,20081010
30837,29135,20080731
29136,30615,20081028
29137,32433,20080714
29135,30836,20080724
30462,29135,20081117
30370,29135,20080801
29135,30836,20081016
29135,31858,20080804
21619,30836,20081129
31919,29135,20080715
29134,30838,20081025
29135,30836,20081210
30709,30615,20081026
31248,29135,20080814
31234,29135,20081114
30968,31590,20080720
44017,30709,20080907
28879,30615,20081006
30836,29135,20081211
30655,29135,20081208
29135,30615,20080721
30643,30906,20080717
32014,31858,20080918
30836,29228,20081003
29137,30615,20080731
29135,30711,20081022
31110,29135,20080811
30517,29135,20080724
31799,29135,20080722
32433,31857,20080811
32433,30836,20080829
32721,29135,20081201
29135,30615,20080801
31666,29137,20080730
30837,29135,20080813
25859,30836,20081018
29135,29135,20080730
29135,30615,20081015
29135,36884,20080813
29135,30464,20080723
28650,30615,20080831
32776,32776,20081128
30710,29135,20080729
32433,30836,20080901
29136,30615,20080822
29135,30647,20080711
26106,31958,20081106
29135,30615,20080730
30963,29135,20080822
31112,29135,20080815
33194,29135,20080919
31143,29135,20080901
31850,29135,20081015
30838,32433,20080728
29136,30708,20080828
29136,29404,20081203
29135,32013,20080814
30837,30615,20081205
29137,30615,20080717
32433,30836,20081008
29134,30836,20081020
29135,32433,20080710
30837,29135,20080826
30900,29135,20081014
32721,30647,20081030
31853,29135,20080725
29137,30836,20081013
51710,37341,20080118
36282,37340,20080603
28863,48127,20080824
37340,40248,20080612
39240,39241,20080725
18636,35797,20080318
39125,37340,20081005
36564,35797,20080625
39240,39241,20080718
18516,35797,20080701
36153,35797,20080607
35887,29135,20080319
34110,28667,20080119
35891,37340,20080702
36563,37340,20080602
29135,37340,20080520
36564,39241,20080715
35891,35797,20080223
36564,27669,20080315
36562,37340,20080521
37231,39240,20081003
49487,53326,20081010
35797,36612,20080703
36885,37340,20080708
34110,51686,20080117
39240,39241,20080716
39240,51686,20081006
12972,18179,20080530
48027,46020,20080311
51710,37341,20080226
36561,37340,20080528
35887,35797,20080526
37340,37340,20080706
35797,35797,20080612
28781,50806,20080826
35797,35797,20080614
46014,50867,20080304
36564,37340,20080709
29547,50806,20080821
35797,37340,20080709
32879,37340,20080302
35891,37340,20080531
39240,39241,20080729
34135,37340,20080525
25883,37340,20080621
36464,39241,20081007
18663,37340,20080530
35797,35797,20080616
34760,37340,20080527
39240,39241,20080717
18671,37341,20080116
37341,18635,20080522
29676,50572,20080831
37949,37341,20080617
37231,39241,20081001
36564,39241,20081006
39240,39241,20080720
39658,39241,20080723
39240,39241,20080719
44154,37763,20090805
32776,47661,20090602
32776,48811,20090531
56738,44161,20090710
53704,44161,20090724
50495,29134,20090622
48334,37728,20090731
55342,37763,20090717
32777,29135,20090601
55094,37391,20090730
48812,29135,20090521
48334,44161,20090729
48812,29135,20090609
50007,29135,20090623
32721,50497,20090601
32433,34344,20070801
32721,34634,20070806
34344,34973,20070804
32776,34344,20070807
34073,34634,20070731
33084,32887,20070805
33078,33111,20070807
32433,26057,20110802
29399,32004,20090505
29791,29791,20090720
29399,32014,20090215
29791,31668,20090201
31906,29399,20090709
29788,32004,20090610
32004,30994,20090603
30934,30652,20090121
31260,32004,20090525
30994,32004,20090504
29791,37114,20090611
32014,30994,20090413
31546,30710,20090502
32113,29399,20090420
29791,29399,20090526
32113,29791,20090607
29791,31667,20090509
29791,32004,20090603
32004,29399,20090713
29399,31009,20090311
29399,29791,20090615
32305,30467,20090423
31651,32004,20090616
30975,32014,20090114
29938,30995,20090113
31652,29791,20090323
25981,30994,20090115
30899,32004,20090424
32014,28481,20090417
29791,29399,20090518
31323,31857,20090317
29788,31858,20090623
30584,30584,20090402
32014,29791,20090702
29399,32004,20090325
30106,32004,20090317
29793,32004,20090409
31141,29791,20090705
32014,30994,20090410
30988,29399,20090630
29788,28481,20090601
30899,29791,20090712
29791,32004,20090408
32014,29791,20090216
29791,32004,20090316
30542,32014,20090721
29790,29791,20090214
29791,31668,20090630
29791,29791,20090629
32014,29791,20090527
31747,29356,20090418
32014,30994,20090319
7929,30956,20090614
30903,29790,20090406
29791,29399,20090206
29791,29791,20090717
32014,29399,20090617
32004,29399,20090608
31261,29791,20090402
31855,29791,20090719
31631,29789,20090408
32014,30994,20090503
31859,28509,20090712
32014,29399,20090726
31854,31631,20090515
31906,30994,20090114
29791,32004,20090618
29789,29399,20090209
29788,30994,20090521
32004,29399,20090504
29791,29790,20090210
31857,32004,20090428
31854,29399,20090304
30532,31648,20090420
29791,33244,20090729
32014,29791,20090309
36766,30836,20090611
29791,31669,20090701
32014,29791,20090316
32113,29791,20090601
29236,32004,20090609
29791,32004,20090618
31034,29791,20090122
31650,29789,20090622
29789,32004,20090531
30994,32014,20090422
32014,29399,20090415
30904,32004,20090514
32004,29240,20090212
32014,29399,20090222
34535,32004,20090502
32014,29789,20090201
31860,29791,20090208
29791,32004,20090713
29791,32004,20090225
29792,29791,20090217
29791,32004,20090211
32014,29791,20090614
31016,27749,20090319
30994,31235,20090121
29792,32004,20090419
31668,32004,20090509
32004,32039,20090520
31860,30994,20090121
31112,32004,20090503
31960,31668,20090625
30322,29791,20090418
29791,32014,20090702
29791,32004,20090507
31860,29791,20090610
32004,31113,20090516
29791,32004,20090519
30903,29473,20090429
32014,29791,20090511
32014,29399,20090708
30963,29791,20090220
32327,31623,20090424
29791,29791,20090602
29791,34412,20090601
32014,29791,20090714
32014,29399,20090422
31651,31625,20090418
32014,29791,20090215
29791,31668,20090210
30108,31668,20090514
29786,32004,20090528
29399,31907,20090305
30366,31856,20090418
32014,29399,20090517
31858,31016,20090118
31860,32014,20090322
32004,32004,20090416
29791,32004,20090708
30903,31101,20090401
32004,32004,20090517
29391,32004,20090712
31935,30993,20090421
29791,32004,20090222
30975,32004,20090511
32014,30836,20090305
29791,32004,20090527
29791,31859,20090416
32014,32004,20090419
31907,29399,20090312
30836,29399,20090213
29792,32004,20090512
32014,29399,20090211
29791,30994,20090510
31860,31860,20090519
15544,31667,20090628
31858,29791,20090609
30106,29791,20090207
32014,29791,20090531
32014,29399,20090506
30579,31851,20090430
29399,29791,20090223
31860,29791,20090308
29399,31937,20090220
29235,32014,20090118
31034,32014,20090319
30663,29399,20090311
28667,30992,20090119
31667,29791,20090508
29789,32004,20090312
31018,32004,20090426
28879,31860,20090113
29791,31860,20090309
32014,32004,20090505
29791,31668,20090709
29791,32014,20090714
32014,29791,20090722
29399,32004,20090508
32004,29791,20090628
29938,29947,20090113
30989,25981,20090115
29791,32004,20090616
29791,29789,20090727
31860,31860,20090312
30989,31212,20090122
32014,30971,20090120
29791,29399,20090224
29399,30901,20090625
30107,29791,20090528
31860,29399,20090315
30709,26404,20090612
30989,30955,20090118
29399,29399,20090612
29791,31666,20090622
32038,28877,20090113
32014,30994,20090412
29791,32004,20090216
31651,32004,20090503
31907,29399,20090219
32004,29399,20090512
29791,29791,20090310
32014,33547,20090509
29402,29791,20090624
31668,29791,20090625
29399,29399,20090324
32004,29791,20090525
30994,30994,20090411
31191,32004,20090423
28481,29791,20090513
29399,29399,20090727
30967,31666,20090121
31937,29791,20090623
31820,30836,20090430
29791,29399,20090707
32004,29399,20090716
29791,32004,20090608
29936,32004,20090208
31857,29791,20090524
29399,30934,20090318
29791,31667,20090219
29791,29399,20090706
31857,29399,20090520
32014,29791,20090618
29399,29791,20090218
29791,29791,20090703
31859,29791,20090509
31017,32004,20090412
29791,31668,20090212
32004,29399,20090701
30975,32014,20090413
26008,28042,20090327
35718,35294,20090717
22383,41017,20090408
25996,26489,20090313
44377,26488,20090220
28045,26487,20090416
26007,26488,20090408
28045,28044,20090318
58678,58678,20090713
25985,18477,20090418
48970,26005,20090328
25996,35331,20090413
27801,24689,20090327
14807,25996,20090417
36589,36588,20090715
28045,26488,20090217
21152,25996,20090306
36515,28042,20090302
28048,26005,20090225
27815,5841,20090214
14805,28042,20090319
25996,26487,20090415
21264,21264,20090303
23161,26488,20090418
58586,26487,20090216
28119,26005,20090220
35293,35293,20090719
25232,21273,20090730
25998,31644,20090401
26007,26488,20090331
28864,26005,20090403
54903,26485,20090402
28045,25996,20090227
25996,28042,20090305
58662,51858,20090711
27815,26008,20090416
26487,32433,20090420
21131,26007,20090217
46096,26005,20090409
35293,35293,20090713
25363,26488,20090325
28045,54904,20090418
28043,32718,20090328
28043,26007,20090223
51412,26007,20090421
25996,26489,20090302
26008,26006,20090327
28865,26488,20090120
28864,26488,20090415
58678,59390,20090713
30740,26007,20090330
25997,25374,20090320
27061,26484,20090409
28863,26488,20090316
25996,25996,20090325
28864,26005,20090326
25998,36306,20090331
34112,26007,20090219
25996,25996,20090326
52158,58679,20090710
25997,19438,20090403
26007,26488,20090309
35293,35293,20090724
35293,31966,20090713
26091,26007,20090331
30154,26488,20090320
55685,26487,20090121
27815,28042,20090309
58609,26005,20090323
31825,26488,20090227
35293,36589,20090720
27801,26488,20090317
52157,52157,20090710
22615,26409,20090316
25996,30081,20090316
35421,36011,20090714
26007,25996,20090404
14805,26007,20090217
35909,26007,20090407
26007,26488,20090407
48563,46556,20081210
57262,57262,20081105
44009,41069,20081207
44643,28109,20081209
51690,44643,20081107
28109,56646,20081209
44653,44643,20081214
44643,44643,20081130
36004,29669,20081105
33301,29668,20081104
25363,25363,20081114
58875,70065,20081106
44643,45252,20081208
44338,52491,20081112
22070,48377,20081106
44010,44648,20081104
30090,29905,20081114
44644,44643,20081207
44643,44643,20081207
46979,52094,20081115
47682,44643,20081105
42113,45196,20081104
64287,29950,20081112
44643,44643,20081215
29669,28863,20081106
44339,42435,20081108
29670,28863,20081105
44335,44643,20081202
44643,44643,20081204
44643,44643,20081207
44643,44643,20081214
48373,57085,20081106
47698,49650,20081205
44333,52326,20081106
71431,44643,20081201
44005,44642,20081110
57594,44004,20081111
48356,44643,20081108
44009,44643,20081215
44335,44400,20081206
44643,38066,20081105
33964,36283,20080919
25714,35799,20080918
25713,25714,20080831
26915,25996,20080920
25398,33964,20080828
27066,25398,20080904
24645,25398,20080914
29135,33964,20080827
30171,25398,20080916
25398,25398,20080906
36862,33964,20080908
25398,25230,20080903
30806,25398,20080917
36465,25398,20080828
25978,25982,20080908
33964,21497,20080829
35799,36414,20080918
25713,25398,20080920
25714,33964,20080909
33964,26417,20080908
25395,30806,20080917
25714,35799,20080905
33964,25714,20080827
25398,13494,20080915
25398,25398,20080915
27072,35799,20080827
35799,34109,20080901
36776,35799,20080902
45162,25398,20080905
36464,34109,20080901
29134,20171,20100601
21269,20892,20070414
32433,21522,20080520
32776,20171,20100618
20172,56860,20100601
20169,20171,20100605
32776,20171,20100611
