source,dest,daytime
34076,34449,2008121305
35722,34448,2008103016
34111,34076,2008120815
33512,35727,2008111301
33526,33361,2008102900
34111,34111,2008121509
34076,35727,2008112302
34437,25810,2008111501
36464,34076,2008121405
33512,35727,2008111000
35728,34449,2008102616
35727,33513,2008111609
32783,33529,2008110201
33527,33362,2008110402
34293,35727,2008112001
34437,34111,2008120401
34255,35727,2008102700
36464,35727,2008110723
33527,36106,2008121204
34293,33527,2008121000
35727,33529,2008110904
36485,34293,2008110511
34076,34111,2008120900
33513,35727,2008110521
34077,34256,2008111217
33517,33529,2008120600
36464,36237,2008120703
36241,34109,2008103009
33527,34448,2008112011
33361,33363,2008121204
35729,35723,2008111102
33527,33513,2008102816
34437,34111,2008111800
33526,33514,2008111809
4029,35725,2008111904
34078,34111,2008121100
34293,34111,2008121500
36485,36413,2008120305
33363,33527,2008111710
34111,37767,2008102816
27821,32049,2008112207
28051,30411,2008102608
28051,28640,2008110802
28846,30320,2008111901
28051,28640,2008120607
30928,28627,2008102417
28879,29892,2008102201
31980,29892,2008102301
28879,28627,2008112101
27821,28641,2008121001
28879,29892,2008102101
29892,28051,2008111712
29892,28627,2008102409
32776,25321,2011031208
32776,40802,2011031900
33016,26056,2011051200
29136,32433,2010120709
25365,33154,2011041913
54594,55716,2011062006
33154,55811,2011040821
32433,26489,2011041201
26455,26007,2011042213
33118,28588,2011030500
48533,54476,2011032010
33107,33154,2011011612
25365,33154,2011042712
40072,40636,2011031909
33112,26489,2011050402
33111,26489,2011042604
28047,26489,2011042005
28049,33154,2011040914
32777,26490,2011050503
32433,33154,2011042713
56488,54624,2011061802
29137,28865,2011041903
29134,26490,2011051213
29135,29135,2010120800
32776,29135,2010112815
32775,33111,2011062503
33087,26490,2011041902
59202,56668,2010121915
32776,26489,2011042900
33111,33154,2011050623
32433,26489,2011041217
33118,33111,2011042914
32992,26490,2011042703
29134,53252,2011012818
33087,26490,2011050403
45799,49488,2010121114
32432,26489,2011050900
56661,33111,2011061709
32038,51418,2011032005
29137,26489,2011050500
33189,26490,2011050603
29136,33214,2010091515
26056,33154,2011041607
25364,26489,2011050301
26055,26490,2011060103
32433,29134,2010123116
26486,33154,2011041805
26455,33111,2011040810
29135,29135,2010120619
32775,26490,2011042802
29140,26489,2011050601
28950,57549,2011041411
33016,26489,2011040803
29137,26489,2011042502
29135,29135,2010081214
58662,58542,2010122418
28592,33154,2011030513
29137,26490,2011042203
33369,32433,2011010913
32433,29135,2010121410
33177,26489,2011051201
32992,26489,2011050101
29137,26489,2011042800
32775,26056,2011051002
25365,26489,2011072912
25364,26490,2011080309
29140,26490,2011073110
26057,29137,2011080223
28880,32886,2008102701
32968,32952,2008111709
28051,32968,2008111722
32204,32185,2008110610
33201,33200,2007100700
32433,33201,2007100207
33211,34207,2007100607
29624,29544,2011092713
26490,30554,2011092914
26006,33525,2011081018
26489,25366,2011090710
29630,30554,2011100604
26060,38306,2011102304
28860,30554,2011101010
28879,26485,2011080309
29631,31667,2011091823
29631,29631,2011101613
26456,28870,2011102202
28050,26489,2011080808
29874,26489,2011101301
30554,31712,2011092100
33799,29135,2010050701
27724,30554,2011091808
32992,32777,2009092601
33204,32736,2010050513
28043,30554,2011092309
29869,26490,2011092600
32038,33154,2009080413
32776,33111,2009080515
26490,26487,2011090814
26489,26308,2011080518
29673,38306,2011100302
26057,33154,2011090510
29626,26056,2011102700
29137,26490,2011091600
32765,32765,2010031500
33799,37029,2010050613
30583,26057,2011100800
28875,25998,2010042407
33154,26057,2011082500
32765,29135,2010050601
30554,30088,2011090805
29544,26490,2011101101
29633,30554,2011101501
32968,26489,2011083100
28782,30554,2011101212
29632,29631,2011102214
29631,26490,2011101400
32433,26488,2011090201
29103,29103,2011102700
32736,32736,2010050802
29136,26056,2011091300
33154,26489,2011081908
25364,29534,2011092213
28875,25998,2010042415
29136,33154,2011082009
26057,26056,2011080909
26225,26224,2011091006
26057,33154,2011090111
29538,30554,2011092713
30089,26055,2011092800
32433,25532,2011090100
29632,32204,2011091800
30088,26056,2011101900
30554,26489,2011092300
32109,38306,2011101600
26057,33154,2011082514
25589,38306,2011091006
38152,38315,2011100107
25364,42194,2011081717
26490,30554,2011101409
26007,30554,2011102508
36924,30554,2011100116
26059,30554,2011101808
29137,26489,2011081708
25600,30554,2011090801
29957,26489,2011101800
30555,26489,2011102401
26488,30554,2011100912
28862,26489,2011100901
29135,32765,2010051505
32776,25837,2011081313
29631,29631,2011092100
29631,28047,2011100407
28949,28778,2011102304
29631,30744,2011092502
30089,13005,2011100500
27820,29535,2011092108
32108,32108,2011101600
32109,26489,2011092900
25364,30554,2011102412
30088,26488,2011102500
29135,26487,2011090600
28051,26490,2011080408
29627,26490,2011101001
29624,30554,2011100813
30975,30994,2009041105
32128,30648,2009041917
29791,30106,2009060900
30852,31856,2009050905
31146,30647,2009070117
30836,31628,2008111401
30889,31307,2008120207
30903,30903,2008111816
32014,32004,2009050402
28481,29399,2009050207
30614,32004,2009062407
31115,30835,2008111303
30835,32004,2009052012
28481,32004,2009040602
29786,29791,2009040505
29791,31860,2009050303
30994,32014,2009041200
30836,32004,2009051106
30618,30618,2008112104
31799,32114,2008111001
30836,31860,2009052604
32014,30836,2009053119
31801,30903,2008110323
30839,30836,2009050612
30836,29399,2009060806
27818,30890,2008102302
28349,28515,2009070202
30852,30836,2009040120
29792,32004,2009051002
31858,30648,2009050519
31820,30836,2009051722
31853,31668,2009070404
31859,30836,2009051219
29788,30836,2009053003
31110,31750,2009052509
31860,32004,2009042309
31856,29791,2009050918
32014,30994,2009040918
29126,29399,2009040301
31115,31631,2008111901
30903,31590,2008112310
31931,30971,2008102711
32004,30838,2009061518
31712,29791,2009050719
31301,33151,2008111809
30711,31667,2009053103
31016,30994,2009041002
32004,29791,2009042617
30836,31668,2009062304
30708,31279,2008121401
32014,30710,2009042417
30903,32004,2009070502
30972,30970,2008112111
29791,32014,2009042023
32128,32004,2009052409
31889,30836,2008111202
30836,32004,2009041700
31265,30836,2008120207
30836,31668,2009063004
29788,32004,2009050801
32014,30698,2009052421
31857,30648,2009051022
31744,30836,2009062421
29792,30890,2009051201
30994,32014,2009041305
32014,30615,2009062323
32012,30836,2009060218
31937,31801,2008110310
30321,31631,2008121002
30835,31110,2008111501
29399,29791,2009043003
29399,32004,2009051401
32004,32004,2009061900
32014,37114,2009061022
31614,30647,2009060606
32113,29791,2009042318
31860,30615,2009041600
32014,30836,2009052021
32012,30616,2009062917
32014,31666,2009062110
52976,30691,2009052801
31937,30836,2009060716
28462,31653,2009070300
31314,29399,2009051305
30648,30645,2008102402
31590,70576,2009052123
32014,32004,2009051909
31631,30835,2008111715
32014,30836,2009042721
30836,32004,2009050503
30899,32004,2009042701
32014,32004,2009051705
32014,30838,2009042220
30648,32014,2009061505
31857,30836,2009052617
32014,29791,2009051117
29791,32004,2009042400
30423,31631,2008121112
31627,32004,2009062209
30663,30918,2009052104
32014,30994,2009041314
30835,32004,2009051806
30970,31072,2008111809
30900,30617,2008112003
28332,31860,2009040105
31667,32014,2009051501
40636,27063,2008102613
31907,32014,2009061800
30836,32004,2009050702
37401,30615,2009061122
31860,30835,2009070104
31631,30971,2008120303
31310,30971,2008121204
7929,30836,2009061406
30971,30971,2008121104
30902,30835,2008120315
30836,30836,2009052001
30465,28629,2009033100
30835,29399,2009042001
31114,32014,2009061006
30836,32004,2009060707
30709,32004,2009061207
30836,31859,2009042805
30836,30836,2009060306
30971,31631,2008120323
30902,30902,2008111608
31161,30645,2009060108
29791,32004,2009041900
32004,31668,2009040206
31907,29791,2009033000
31631,29399,2009041817
32004,30836,2009050420
30462,30835,2008111410
30708,32004,2009061605
30652,28779,2008112201
29786,29791,2009042900
28646,29531,2008102909
30971,31301,2008111209
31936,31860,2009070111
32014,30994,2009041207
29791,29791,2009050103
32013,31860,2009060203
32004,31669,2009050810
30993,32004,2009042202
31946,30877,2008102909
31178,30462,2008111705
31860,31854,2009062002
30462,30708,2008120111
32014,31937,2009051609
30903,31301,2008121210
31670,30836,2009051917
30836,54492,2009052708
29136,30710,2008072018
29135,31647,2008032417
30334,29135,2008031201
33118,30918,2008052615
29135,29135,2008082509
30319,30994,2009012403
29135,30918,2008063016
31165,29135,2009011301
29135,30711,2008050316
32433,29135,2008091507
32537,29135,2008110104
29137,30373,2009020710
29135,29135,2008081808
31854,29135,2008102103
29135,28878,2008052015
31853,32433,2008041511
32004,30918,2008040210
30918,32433,2008051501
32433,46258,2008030103
32732,29135,2008083103
32992,29135,2008091303
31110,29135,2008082002
29135,30994,2009021617
31803,29135,2008121203
30963,29135,2009011702
29138,29135,2008072309
31065,31061,2009021510
29257,29135,2008040400
31853,32433,2008032213
29135,30918,2008071710
28050,29135,2008082012
31850,29135,2008061800
31113,29135,2008081801
30322,29135,2008050602
28051,31113,2009011216
29135,29135,2008051210
31113,29135,2008090202
30710,29135,2008111801
30918,29135,2008053001
28879,30918,2009011616
30710,29135,2008043001
29135,30994,2009020210
32433,30994,2009020314
30653,29135,2009021302
29135,31113,2008081315
31829,32433,2008061922
29136,31143,2008112214
32433,30710,2008120115
31113,29135,2008060923
32433,33016,2008081501
52846,50240,2008100107
29135,30918,2008042716
32433,29135,2008100202
28051,29140,2008071303
32433,30918,2008051914
31852,36017,2008032309
31799,32433,2008040112
32433,46504,2008110510
30579,30708,2008101802
31953,29135,2008112804
28050,30918,2008052809
30963,30710,2008050404
36240,46262,2008040503
30536,32433,2008112811
30963,32433,2008051105
29135,29135,2008080610
32433,30918,2008100818
31112,32433,2008040810
31799,29135,2009011203
32111,29135,2009021701
30918,29135,2008030607
30918,29135,2008051900
31141,29135,2009020605
29134,30918,2008031017
33107,29134,2008092107
53551,52846,2008092900
29135,30918,2008032202
32433,30918,2008050716
29135,32433,2008053006
30918,32433,2008060602
31799,29135,2008122902
30896,30918,2008102205
31820,32038,2008122601
29137,30918,2008120315
28050,29135,2008103103
29135,30918,2008053016
52845,29135,2008091014
30918,29135,2008060201
31631,30918,2008060214
27822,29135,2008081606
31857,29135,2008071802
29135,29135,2008091903
28051,30918,2008112714
30918,32433,2008051201
28612,31113,2009011113
31799,29135,2009012106
31101,32433,2008032921
31951,30918,2008041203
31799,32433,2008112002
30888,32721,2008052103
32433,30918,2008040700
31848,29135,2008071701
28878,30993,2009021015
29137,29137,2008052013
30926,29135,2008030701
31614,29135,2009020306
30839,29135,2008072806
30918,32433,2008052901
30852,29135,2009021603
30710,32433,2008051302
31212,30918,2008101512
29135,29135,2008091313
29136,30918,2008122916
31828,30994,2009021403
31112,32433,2008052301
29134,29135,2008080706
29664,31101,2008122109
31146,29135,2008050901
31175,30918,2008060104
29134,30704,2008091520
28051,30852,2008041717
31853,30918,2008041821
29136,29135,2008110220
32433,30918,2008052109
30961,29134,2008042801
31114,29135,2008112501
30918,32433,2008040712
31853,31113,2009012005
32779,29135,2008081501
29134,31113,2008081109
30918,32433,2008050801
31853,29135,2008070304
30918,30918,2008051602
32433,30918,2008040200
29785,32433,2008033110
30944,30918,2008041611
30960,29135,2008062201
32433,30704,2008072723
30918,29135,2008060300
30918,29135,2008091606
31235,29135,2008091803
29135,29135,2008082709
32433,30710,2008042914
29921,32433,2008101503
31799,29135,2009011907
28879,29135,2008091705
31852,29135,2008122302
30852,29135,2008121104
29135,32433,2008080510
29135,30918,2008081717
31261,29134,2008091918
29135,29137,2008052011
31112,30917,2008123001
30900,29135,2008111901
31275,32433,2008071907
30852,29135,2008102401
29785,30579,2008032809
30899,32433,2008051402
49494,29134,2008062906
32721,29135,2009010114
53079,29135,2008031712
29134,29135,2008072910
33118,29135,2008082603
28878,30918,2008061915
28847,30918,2008101410
32433,30710,2008091618
31262,50961,2008061501
30963,29135,2009012803
31145,29135,2008082103
32433,29135,2008091208
32111,29135,2009021510
25363,29135,2008070904
29135,30704,2008031418
32992,37782,2008082302
30852,29135,2008112401
31241,31631,2009011602
30917,29135,2008102302
32038,32038,2008051210
29135,31113,2008081914
53537,52843,2008092311
32433,30704,2008040316
28051,31112,2008062717
28051,31113,2008041500
52846,29135,2008040611
32433,30710,2008060316
31850,25367,2008041212
31930,27187,2008122102
31799,29135,2008070202
26008,30324,2008101912
30918,30918,2008052201
28050,32433,2008061118
29136,30918,2008102317
32433,29135,2008073110
29134,32721,2008082909
32433,30704,2008051415
29135,31113,2008111816
32433,30918,2008040801
32433,29135,2008082810
28864,30710,2008060510
30571,32433,2008031601
30918,30918,2008053102
30918,29135,2008091201
29136,30465,2008102009
29134,29135,2008072509
29137,29137,2008112203
31852,29135,2008122501
29135,30852,2008080207
30904,29135,2008072101
31804,30465,2008101702
29136,30918,2008032000
30465,30918,2008101603
30900,29135,2008081202
31235,30994,2009012502
29134,29135,2008090908
28880,29135,2008062500
36887,29135,2008112011
31105,29135,2008120904
30918,29135,2008102001
46262,31113,2008051805
31161,29135,2008031101
33022,48969,2008121300
28742,30710,2008110412
31801,29135,2008120402
31854,30918,2008120809
30852,29135,2008122202
50236,29135,2008090709
29136,30918,2008031317
29135,31113,2008082017
28051,30918,2008041600
29135,30918,2008122409
32433,30918,2008110317
30710,29135,2008112702
32433,29135,2008061708
30643,29135,2008081103
31850,29135,2008110706
31615,30994,2009021104
29937,29134,2008101402
31101,29135,2008120302
32433,30918,2008091917
30710,30710,2008112601
30962,29135,2008062701
31105,29135,2008121003
28050,29135,2008090702
31114,30704,2008101802
30710,29135,2008091703
32433,29135,2008081904
29135,30710,2008051115
30963,31113,2008031505
30710,53551,2008122803
29135,32673,2008032222
29137,29134,2009010610
29135,29135,2008071503
29135,30662,2008051316
31667,32433,2008111701
31113,29135,2008100904
29135,30710,2008112515
32433,30918,2008032800
48969,29134,2008042706
32433,30918,2008071809
31276,32433,2008042201
32433,30704,2008051218
29135,30918,2008091716
31919,30918,2008062116
30704,32776,2008051005
29137,30918,2008031116
31624,29137,2008032109
31262,29135,2008050701
30603,30918,2008101303
30710,29135,2008060401
32433,30710,2008120215
31930,30710,2008041403
32433,32433,2008041910
28879,30710,2008062514
30852,29135,2008100804
36281,29135,2008070605
31801,30918,2008041813
31851,31113,2009011412
30888,32433,2008032009
32433,30918,2008051016
29136,30137,2008062611
32433,30933,2008061709
31848,31113,2009011804
30711,32433,2008120101
31851,32050,2008061922
32433,30918,2008050615
31103,29135,2008050502
29136,30704,2008032023
48262,29135,2008030207
29135,31113,2008090114
31113,29135,2008080303
31666,29135,2008112904
31113,29135,2009011501
31235,29135,2008032409
29135,30918,2008101216
30963,29135,2008041310
30918,32776,2008052801
29135,29135,2008091409
28650,30918,2008061409
29135,30918,2008081016
31950,31751,2008092003
29137,30918,2008112415
29136,32717,2008123110
29135,30918,2008033101
32433,31113,2008122215
31614,29135,2009020700
31853,32433,2008070101
30918,29135,2008052001
31193,31627,2008061402
29135,29135,2008090409
29137,28076,2008043009
29136,30710,2008042211
52449,30918,2008032320
32433,30918,2008100617
30847,29135,2008062602
47408,29135,2008121406
51926,32433,2010121007
36429,36274,2010120620
36970,37341,2007120316
64967,41945,2007120219
36487,36216,2007120307
58527,35675,2009050810
18632,18650,2009082112
56791,56418,2009081813
32433,33087,2009091816
57146,58358,2009051516
24604,18650,2009082010
18529,14027,2009082319
32433,30836,2008091914
29135,32433,2008090312
32721,30918,2008082713
31143,29135,2008081201
31851,32433,2008072301
30836,30836,2008101601
29135,30836,2008082513
30462,30836,2008111510
31278,29135,2008080601
30709,30613,2008082717
29137,28614,2008082110
31853,32433,2008071600
29135,30615,2008072210
29134,29135,2008071908
31081,30615,2008102706
30900,32433,2008071700
31546,30836,2008080515
32433,31858,2008081212
32433,30615,2008112811
32433,30836,2008072812
32433,30836,2008072510
31109,29135,2008101001
30837,29135,2008073101
29136,30615,2008102811
29137,32433,2008071401
29135,30836,2008072410
30462,29135,2008111702
30370,29135,2008080101
29135,30836,2008101614
29135,31858,2008080413
21619,30836,2008112901
31919,29135,2008071500
29134,30838,2008102508
29135,30836,2008121009
30709,30615,2008102602
31248,29135,2008081401
31234,29135,2008111404
30968,31590,2008072004
44017,30709,2008090711
28879,30615,2008100613
30836,29135,2008121100
30655,29135,2008120803
29135,30615,2008072110
30643,30906,2008071700
32014,31858,2008091801
30836,29228,2008100301
29137,30615,2008073111
29135,30711,2008102209
31110,29135,2008081101
30517,29135,2008072401
31799,29135,2008072201
32433,31857,2008081112
32433,30836,2008082915
32721,29135,2008120112
29135,30615,2008080110
31666,29137,2008073001
30837,29135,2008081301
25859,30836,2008101813
29135,29135,2008073010
29135,30615,2008101514
29135,36884,2008081310
29135,30464,2008072310
28650,30615,2008083108
32776,32776,2008112811
30710,29135,2008072901
32433,30836,2008090114
29136,30615,2008082213
29135,30647,2008071111
26106,31958,2008110602
29135,30615,2008073014
30963,29135,2008082201
31112,29135,2008081501
33194,29135,2008091903
31143,29135,2008090101
31850,29135,2008101502
30838,32433,2008072801
29136,30708,2008082810
29136,29404,2008120313
29135,32013,2008081413
30837,30615,2008120505
29137,30615,2008071712
32433,30836,2008100814
29134,30836,2008102015
29135,32433,2008071010
30837,29135,2008082601
30900,29135,2008101401
32721,30647,2008103013
31853,29135,2008072501
29137,30836,2008101314
51710,37341,2008011806
36282,37340,2008060300
28863,48127,2008082423
37340,40248,2008061222
39240,39241,2008072500
18636,35797,2008031811
39125,37340,2008100509
36564,35797,2008062505
39240,39241,2008071804
18516,35797,2008070108
36153,35797,2008060709
35887,29135,2008031907
34110,28667,2008011906
35891,37340,2008070209
36563,37340,2008060203
29135,37340,2008052009
36564,39241,2008071510
35891,35797,2008022304
36564,27669,2008031505
36562,37340,2008052103
37231,39240,2008100304
49487,53326,2008101001
35797,36612,2008070306
36885,37340,2008070812
34110,51686,2008011723
39240,39241,2008071608
39240,51686,2008100623
12972,18179,2008053010
48027,46020,2008031100
51710,37341,2008022602
36561,37340,2008052809
35887,35797,2008052612
37340,37340,2008070609
35797,35797,2008061204
28781,50806,2008082623
35797,35797,2008061408
46014,50867,2008030400
36564,37340,2008070902
29547,50806,2008082123
35797,37340,2008070921
32879,37340,2008030212
35891,37340,2008053103
39240,39241,2008072910
34135,37340,2008052505
25883,37340,2008062110
36464,39241,2008100711
18663,37340,2008053010
35797,35797,2008061605
34760,37340,2008052707
39240,39241,2008071700
18671,37341,2008011607
37341,18635,2008052209
29676,50572,2008083123
37949,37341,2008061704
37231,39241,2008100122
36564,39241,2008100613
39240,39241,2008072004
39658,39241,2008072308
39240,39241,2008071904
44154,37763,2009080500
32776,47661,2009060213
32776,48811,2009053113
56738,44161,2009071000
53704,44161,2009072400
50495,29134,2009062201
48334,37728,2009073100
55342,37763,2009071700
32777,29135,2009060101
55094,37391,2009073000
48812,29135,2009052123
48334,44161,2009072900
48812,29135,2009060900
50007,29135,2009062300
32721,50497,2009060112
32433,34344,2007080109
32721,34634,2007080613
34344,34973,2007080401
32776,34344,2007080713
34073,34634,2007073113
33084,32887,2007080523
33078,33111,2007080701
32433,26057,2011080209
29399,32004,2009050501
29791,29791,2009072000
29399,32014,2009021502
29791,31668,2009020112
31906,29399,2009070915
29788,32004,2009061000
32004,30994,2009060314
30934,30652,2009012100
31260,32004,2009052500
30994,32004,2009050402
29791,37114,2009061100
32014,30994,2009041314
31546,30710,2009050217
32113,29399,2009042015
29791,29399,2009052600
32113,29791,2009060715
29791,31667,2009050902
29791,32004,2009060300
32004,29399,2009071310
29399,31009,2009031100
29399,29791,2009061500
32305,30467,2009042318
31651,32004,2009061610
30975,32014,2009011400
29938,30995,2009011312
31652,29791,2009032317
25981,30994,2009011521
30899,32004,2009042402
32014,28481,2009041717
29791,29399,2009051801
31323,31857,2009031710
29788,31858,2009062301
30584,30584,2009040200
32014,29791,2009070214
29399,32004,2009032500
30106,32004,2009031700
29793,32004,2009040901
31141,29791,2009070515
32014,30994,2009041007
30988,29399,2009063009
29788,28481,2009060101
30899,29791,2009071216
29791,32004,2009040801
32014,29791,2009021617
29791,32004,2009031601
30542,32014,2009072100
29790,29791,2009021402
29791,31668,2009063001
29791,29791,2009062900
32014,29791,2009052714
31747,29356,2009041810
32014,30994,2009031916
7929,30956,2009061406
30903,29790,2009040620
29791,29399,2009020600
29791,29791,2009071703
32014,29399,2009061718
32004,29399,2009060810
31261,29791,2009040200
31855,29791,2009071915
31631,29789,2009040816
32014,30994,2009050317
31859,28509,2009071215
32014,29399,2009072616
31854,31631,2009051523
31906,30994,2009011416
29791,32004,2009061801
29789,29399,2009020901
29788,30994,2009052100
32004,29399,2009050417
29791,29790,2009021017
31857,32004,2009042818
31854,29399,2009030419
30532,31648,2009042023
29791,33244,2009072901
32014,29791,2009030917
36766,30836,2009061122
29791,31669,2009070100
32014,29791,2009031616
32113,29791,2009060106
29236,32004,2009060900
29791,32004,2009061823
31034,29791,2009012200
31650,29789,2009062215
29789,32004,2009053100
30994,32014,2009042202
32014,29399,2009041516
30904,32004,2009051419
32004,29240,2009021217
32014,29399,2009022217
34535,32004,2009050206
32014,29789,2009020116
31860,29791,2009020816
29791,32004,2009071300
29791,32004,2009022500
29792,29791,2009021701
29791,32004,2009021101
32014,29791,2009061413
31016,27749,2009031902
30994,31235,2009012100
29792,32004,2009041900
31668,32004,2009050911
32004,32039,2009052010
31860,30994,2009012116
31112,32004,2009050301
31960,31668,2009062511
30322,29791,2009041817
29791,32014,2009070200
29791,32004,2009050701
31860,29791,2009061015
32004,31113,2009051619
29791,32004,2009051901
30903,29473,2009042917
32014,29791,2009051117
32014,29399,2009070815
30963,29791,2009022000
32327,31623,2009042417
29791,29791,2009060200
29791,34412,2009060101
32014,29791,2009071417
32014,29399,2009042217
31651,31625,2009041810
32014,29791,2009021516
29791,31668,2009021000
30108,31668,2009051401
29786,32004,2009052800
29399,31907,2009030501
30366,31856,2009041801
32014,29399,2009051712
31858,31016,2009011815
31860,32014,2009032217
32004,32004,2009041619
29791,32004,2009070800
30903,31101,2009040117
32004,32004,2009051704
29391,32004,2009071211
31935,30993,2009042116
29791,32004,2009022201
30975,32004,2009051103
32014,30836,2009030518
29791,32004,2009052701
29791,31859,2009041600
32014,32004,2009041920
31907,29399,2009031217
30836,29399,2009021301
29792,32004,2009051201
32014,29399,2009021117
29791,30994,2009051002
31860,31860,2009051922
15544,31667,2009062814
31858,29791,2009060916
30106,29791,2009020700
32014,29791,2009053118
32014,29399,2009050615
30579,31851,2009043001
29399,29791,2009022300
31860,29791,2009030818
29399,31937,2009022023
29235,32014,2009011823
31034,32014,2009031910
30663,29399,2009031116
28667,30992,2009011912
31667,29791,2009050818
29789,32004,2009031200
31018,32004,2009042621
28879,31860,2009011302
29791,31860,2009030900
32014,32004,2009050519
29791,31668,2009070900
29791,32014,2009071400
32014,29791,2009072218
29399,32004,2009050801
32004,29791,2009062817
29938,29947,2009011312
30989,25981,2009011500
29791,32004,2009061600
29791,29789,2009072700
31860,31860,2009031202
30989,31212,2009012200
32014,30971,2009012003
29791,29399,2009022400
29399,30901,2009062500
30107,29791,2009052813
31860,29399,2009031518
30709,26404,2009061207
30989,30955,2009011823
29399,29399,2009061218
29791,31666,2009062201
32038,28877,2009011302
32014,30994,2009041207
29791,32004,2009021600
31651,32004,2009050309
31907,29399,2009021917
32004,29399,2009051218
29791,29791,2009031001
32014,33547,2009050910
29402,29791,2009062400
31668,29791,2009062515
29399,29399,2009032400
32004,29791,2009052517
30994,30994,2009041105
31191,32004,2009042301
28481,29791,2009051302
29399,29399,2009072722
30967,31666,2009012104
31937,29791,2009062318
31820,30836,2009043016
29791,29399,2009070700
32004,29399,2009071617
29791,32004,2009060800
29936,32004,2009020802
31857,29791,2009052416
29399,30934,2009031802
29791,31667,2009021900
29791,29399,2009070600
31857,29399,2009052016
32014,29791,2009061809
29399,29791,2009021801
29791,29791,2009070300
31859,29791,2009050918
31017,32004,2009041200
29791,31668,2009021200
32004,29399,2009070117
30975,32014,2009041305
26008,28042,2009032701
35718,35294,2009071706
22383,41017,2009040809
25996,26489,2009031306
44377,26488,2009022002
28045,26487,2009041606
26007,26488,2009040805
28045,28044,2009031801
58678,58678,2009071304
25985,18477,2009041810
48970,26005,2009032802
25996,35331,2009041305
27801,24689,2009032709
14807,25996,2009041708
36589,36588,2009071523
28045,26488,2009021708
21152,25996,2009030601
36515,28042,2009030206
28048,26005,2009022507
27815,5841,2009021409
14805,28042,2009031903
25996,26487,2009041502
21264,21264,2009030323
23161,26488,2009041802
58586,26487,2009021604
28119,26005,2009022006
35293,35293,2009071922
25232,21273,2009073010
25998,31644,2009040106
26007,26488,2009033106
28864,26005,2009040306
